iter: 0, loss: 1114960560128.0000, content_loss: 836183261184.0000, style_loss: 278777364480.0000
iter: 1, loss: 595357204480.0000, content_loss: 471017422848.0000, style_loss: 124339798016.0000
iter: 2, loss: 497560223744.0000, content_loss: 393593585664.0000, style_loss: 103966629888.0000
iter: 3, loss: 455802716160.0000, content_loss: 359170146304.0000, style_loss: 96632569856.0000
iter: 4, loss: 436649984000.0000, content_loss: 339760316416.0000, style_loss: 96889651200.0000
iter: 5, loss: 427973738496.0000, content_loss: 330456465408.0000, style_loss: 97517273088.0000
iter: 6, loss: 420413472768.0000, content_loss: 323320217600.0000, style_loss: 97093263360.0000
iter: 7, loss: 412240642048.0000, content_loss: 316441591808.0000, style_loss: 95799050240.0000
iter: 8, loss: 404256915456.0000, content_loss: 310499737600.0000, style_loss: 93757161472.0000
iter: 9, loss: 397124567040.0000, content_loss: 305917263872.0000, style_loss: 91207303168.0000
iter: 10, loss: 391089651712.0000, content_loss: 302018887680.0000, style_loss: 89070772224.0000
iter: 11, loss: 385267793920.0000, content_loss: 297743810560.0000, style_loss: 87523991552.0000
iter: 12, loss: 378282803200.0000, content_loss: 292376051712.0000, style_loss: 85906759680.0000
iter: 13, loss: 371696500736.0000, content_loss: 287182848000.0000, style_loss: 84513652736.0000
iter: 14, loss: 365467992064.0000, content_loss: 282301890560.0000, style_loss: 83166093312.0000
iter: 15, loss: 358999883776.0000, content_loss: 277542043648.0000, style_loss: 81457840128.0000
iter: 16, loss: 352869875712.0000, content_loss: 273265491968.0000, style_loss: 79604391936.0000
iter: 17, loss: 347258880000.0000, content_loss: 269502005248.0000, style_loss: 77756866560.0000
iter: 18, loss: 341722398720.0000, content_loss: 265891020800.0000, style_loss: 75831394304.0000
iter: 19, loss: 336355819520.0000, content_loss: 262408699904.0000, style_loss: 73947111424.0000
iter: 20, loss: 331309449216.0000, content_loss: 259268771840.0000, style_loss: 72040693760.0000
iter: 21, loss: 326529187840.0000, content_loss: 256362332160.0000, style_loss: 70166872064.0000
iter: 22, loss: 321985609728.0000, content_loss: 253556195328.0000, style_loss: 68429414400.0000
iter: 23, loss: 317655351296.0000, content_loss: 250825998336.0000, style_loss: 66829344768.0000
iter: 24, loss: 313355567104.0000, content_loss: 248050515968.0000, style_loss: 65305059328.0000
iter: 25, loss: 309155364864.0000, content_loss: 245292056576.0000, style_loss: 63863308288.0000
iter: 26, loss: 305095507968.0000, content_loss: 242468225024.0000, style_loss: 62627299328.0000
iter: 27, loss: 301213876224.0000, content_loss: 239683272704.0000, style_loss: 61530599424.0000
iter: 28, loss: 297447161856.0000, content_loss: 237042827264.0000, style_loss: 60404330496.0000
iter: 29, loss: 293810044928.0000, content_loss: 234519625728.0000, style_loss: 59290423296.0000
iter: 30, loss: 290268938240.0000, content_loss: 232076115968.0000, style_loss: 58192818176.0000
iter: 31, loss: 286844452864.0000, content_loss: 229671337984.0000, style_loss: 57173118976.0000
iter: 32, loss: 283495727104.0000, content_loss: 227176710144.0000, style_loss: 56319029248.0000
iter: 33, loss: 280213553152.0000, content_loss: 224697090048.0000, style_loss: 55516454912.0000
iter: 34, loss: 277075329024.0000, content_loss: 222289690624.0000, style_loss: 54785650688.0000
iter: 35, loss: 274015354880.0000, content_loss: 219856240640.0000, style_loss: 54159106048.0000
iter: 36, loss: 271077081088.0000, content_loss: 217578045440.0000, style_loss: 53499043840.0000
iter: 37, loss: 268240175104.0000, content_loss: 215423205376.0000, style_loss: 52816969728.0000
