Content_loss 2117338529792.0000, style_loss 595660701696.0000, loss: 2712999297024.0000
Content_loss 653744865280.0000, style_loss 184323981312.0000, loss: 838068862976.0000
Content_loss 526571077632.0000, style_loss 134960750592.0000, loss: 661531852800.0000
Content_loss 458567942144.0000, style_loss 111790505984.0000, loss: 570358431744.0000
Content_loss 415901483008.0000, style_loss 96410427392.0000, loss: 512311918592.0000
Content_loss 378324877312.0000, style_loss 86485123072.0000, loss: 464810016768.0000
Content_loss 351066062848.0000, style_loss 75428036608.0000, loss: 426494099456.0000
Content_loss 319448186880.0000, style_loss 65790853120.0000, loss: 385239023616.0000
Content_loss 261346328576.0000, style_loss 46711504896.0000, loss: 308057833472.0000
Content_loss 241811357696.0000, style_loss 43300294656.0000, loss: 285111648256.0000
Content_loss 231945355264.0000, style_loss 41620631552.0000, loss: 273565990912.0000
Content_loss 224480772096.0000, style_loss 40395104256.0000, loss: 264875868160.0000
Content_loss 224422035456.0000, style_loss 38855278592.0000, loss: 263277314048.0000
Content_loss 215248863232.0000, style_loss 38398939136.0000, loss: 253647798272.0000
Content_loss 216384339968.0000, style_loss 37216886784.0000, loss: 253601218560.0000
Content_loss 210994561024.0000, style_loss 37361754112.0000, loss: 248356306944.0000
Content_loss 211846234112.0000, style_loss 37464248320.0000, loss: 249310478336.0000
Content_loss 207089549312.0000, style_loss 36596908032.0000, loss: 243686457344.0000
Content_loss 205597900800.0000, style_loss 36156379136.0000, loss: 241754275840.0000
Content_loss 204760104960.0000, style_loss 36495368192.0000, loss: 241255481344.0000
Content_loss 257429716992.0000, style_loss 40195538944.0000, loss: 297625255936.0000
Content_loss 201124413440.0000, style_loss 35764965376.0000, loss: 236889374720.0000
Content_loss 200405319680.0000, style_loss 35724840960.0000, loss: 236130156544.0000
Content_loss 199738720256.0000, style_loss 35898634240.0000, loss: 235637358592.0000
Content_loss 198447955968.0000, style_loss 35602432000.0000, loss: 234050387968.0000
Content_loss 198052233216.0000, style_loss 35394531328.0000, loss: 233446768640.0000
Content_loss 197949259776.0000, style_loss 35311140864.0000, loss: 233260400640.0000
Content_loss 196906041344.0000, style_loss 35178864640.0000, loss: 232084897792.0000
Content_loss 195660431360.0000, style_loss 34971959296.0000, loss: 230632390656.0000

