iter: 0, content_loss: 1032835039232.0000, style_loss: 377145917440.0000, loss: 1409980956672.0000
iter: 1, content_loss: 544218873856.0000, style_loss: 135623712768.0000, loss: 679842611200.0000
iter: 2, content_loss: 423834484736.0000, style_loss: 112529637376.0000, loss: 536364122112.0000
iter: 3, content_loss: 387942711296.0000, style_loss: 109167493120.0000, loss: 497110220800.0000
iter: 4, content_loss: 371238141952.0000, style_loss: 111282946048.0000, loss: 482521088000.0000
iter: 5, content_loss: 364473024512.0000, style_loss: 115321872384.0000, loss: 479794888704.0000
iter: 6, content_loss: 356619976704.0000, style_loss: 114483273728.0000, loss: 471103242240.0000
iter: 7, content_loss: 354752856064.0000, style_loss: 98249113600.0000, loss: 453001969664.0000
iter: 8, content_loss: 358868025344.0000, style_loss: 94094696448.0000, loss: 452962713600.0000
iter: 9, content_loss: 348848979968.0000, style_loss: 90073456640.0000, loss: 438922444800.0000
iter: 10, content_loss: 338155700224.0000, style_loss: 89988063232.0000, loss: 428143771648.0000
iter: 11, content_loss: 329468510208.0000, style_loss: 88364900352.0000, loss: 417833418752.0000
iter: 12, content_loss: 324520148992.0000, style_loss: 83356131328.0000, loss: 407876272128.0000
iter: 13, content_loss: 320335642624.0000, style_loss: 80161218560.0000, loss: 400496852992.0000
iter: 14, content_loss: 314421051392.0000, style_loss: 77367623680.0000, loss: 391788691456.0000
iter: 15, content_loss: 307560284160.0000, style_loss: 75874385920.0000, loss: 383434686464.0000
iter: 16, content_loss: 300101369856.0000, style_loss: 75844632576.0000, loss: 375946018816.0000
iter: 17, content_loss: 295435894784.0000, style_loss: 73958178816.0000, loss: 369394057216.0000
iter: 18, content_loss: 291991420928.0000, style_loss: 71227736064.0000, loss: 363219156992.0000
iter: 19, content_loss: 287246942208.0000, style_loss: 69463146496.0000, loss: 356710088704.0000
iter: 20, content_loss: 281829212160.0000, style_loss: 68744585216.0000, loss: 350573789184.0000
iter: 21, content_loss: 275619381248.0000, style_loss: 67605499904.0000, loss: 343224877056.0000
iter: 22, content_loss: 268774227968.0000, style_loss: 65081810944.0000, loss: 333856047104.0000
iter: 23, content_loss: 261277712384.0000, style_loss: 62164701184.0000, loss: 323442409472.0000
iter: 24, content_loss: 255466307584.0000, style_loss: 59449528320.0000, loss: 314915848192.0000
iter: 25, content_loss: 249728172032.0000, style_loss: 57764159488.0000, loss: 307492323328.0000
iter: 26, content_loss: 244714078208.0000, style_loss: 56518651904.0000, loss: 301232717824.0000
iter: 27, content_loss: 239941435392.0000, style_loss: 55580983296.0000, loss: 295522402304.0000
iter: 28, content_loss: 234842390528.0000, style_loss: 54819270656.0000, loss: 289661648896.0000
iter: 29, content_loss: 230042075136.0000, style_loss: 54052499456.0000, loss: 284094562304.0000
iter: 30, content_loss: 225576730624.0000, style_loss: 53336985600.0000, loss: 278913712128.0000
iter: 31, content_loss: 221603233792.0000, style_loss: 52688265216.0000, loss: 274291490816.0000
iter: 32, content_loss: 218061144064.0000, style_loss: 52063916032.0000, loss: 270125056000.0000
iter: 33, content_loss: 214608691200.0000, style_loss: 51467120640.0000, loss: 266075815936.0000
iter: 34, content_loss: 211322650624.0000, style_loss: 50729713664.0000, loss: 262052364288.0000
iter: 35, content_loss: 208646291456.0000, style_loss: 49900126208.0000, loss: 258546417664.0000
iter: 36, content_loss: 205665796096.0000, style_loss: 49363386368.0000, loss: 255029182464.0000
iter: 37, content_loss: 203013521408.0000, style_loss: 48698355712.0000, loss: 251711881216.0000
iter: 38, content_loss: 200426323968.0000, style_loss: 47997186048.0000, loss: 248423514112.0000
iter: 39, content_loss: 198005784576.0000, style_loss: 47451820032.0000, loss: 245457600512.0000
iter: 40, content_loss: 195331719168.0000, style_loss: 47262064640.0000, loss: 242593792000.0000
iter: 41, content_loss: 193066827776.0000, style_loss: 46864515072.0000, loss: 239931342848.0000
iter: 42, content_loss: 190756225024.0000, style_loss: 46801346560.0000, loss: 237557579776.0000
iter: 43, content_loss: 189337305088.0000, style_loss: 46323564544.0000, loss: 235660869632.0000
iter: 44, content_loss: 188264300544.0000, style_loss: 46365925376.0000, loss: 234630217728.0000
iter: 45, content_loss: 186140819456.0000, style_loss: 45741453312.0000, loss: 231882276864.0000
iter: 46, content_loss: 183326998528.0000, style_loss: 45391048704.0000, loss: 228718051328.0000
iter: 47, content_loss: 181336883200.0000, style_loss: 44484550656.0000, loss: 225821425664.0000
iter: 48, content_loss: 179874971648.0000, style_loss: 44322562048.0000, loss: 224197541888.0000
iter: 49, content_loss: 178500124672.0000, style_loss: 44537688064.0000, loss: 223037816832.0000
iter: 50, content_loss: 176959963136.0000, style_loss: 43825700864.0000, loss: 220785672192.0000
iter: 51, content_loss: 174616592384.0000, style_loss: 43668496384.0000, loss: 218285080576.0000
iter: 52, content_loss: 173242941440.0000, style_loss: 43295109120.0000, loss: 216538054656.0000
iter: 53, content_loss: 172389335040.0000, style_loss: 43042406400.0000, loss: 215431741440.0000
iter: 54, content_loss: 171156275200.0000, style_loss: 43003621376.0000, loss: 214159900672.0000
iter: 55, content_loss: 169933406208.0000, style_loss: 42319900672.0000, loss: 212253310976.0000
iter: 56, content_loss: 168052703232.0000, style_loss: 42295058432.0000, loss: 210347753472.0000
iter: 57, content_loss: 166844956672.0000, style_loss: 42039906304.0000, loss: 208884858880.0000
iter: 58, content_loss: 166072352768.0000, style_loss: 41827942400.0000, loss: 207900295168.0000
iter: 59, content_loss: 165270487040.0000, style_loss: 42203140096.0000, loss: 207473623040.0000
iter: 60, content_loss: 164512382976.0000, style_loss: 41436188672.0000, loss: 205948567552.0000
iter: 61, content_loss: 162704375808.0000, style_loss: 41467056128.0000, loss: 204171427840.0000
iter: 62, content_loss: 161252540416.0000, style_loss: 40930213888.0000, loss: 202182754304.0000
iter: 63, content_loss: 160455507968.0000, style_loss: 40691826688.0000, loss: 201147334656.0000
iter: 64, content_loss: 159763808256.0000, style_loss: 41012420608.0000, loss: 200776220672.0000
iter: 65, content_loss: 159515279360.0000, style_loss: 40578928640.0000, loss: 200094203904.0000
iter: 66, content_loss: 158139711488.0000, style_loss: 40797114368.0000, loss: 198936821760.0000
iter: 67, content_loss: 156832907264.0000, style_loss: 40132812800.0000, loss: 196965728256.0000
iter: 68, content_loss: 155632861184.0000, style_loss: 40021041152.0000, loss: 195653894144.0000
iter: 69, content_loss: 155131428864.0000, style_loss: 40166408192.0000, loss: 195297837056.0000
iter: 70, content_loss: 155056095232.0000, style_loss: 39766142976.0000, loss: 194822242304.0000
iter: 71, content_loss: 153721913344.0000, style_loss: 40000163840.0000, loss: 193722073088.0000
iter: 72, content_loss: 153616154624.0000, style_loss: 39635582976.0000, loss: 193251737600.0000
iter: 73, content_loss: 153532678144.0000, style_loss: 39985848320.0000, loss: 193518534656.0000
iter: 74, content_loss: 153868206080.0000, style_loss: 39801356288.0000, loss: 193669562368.0000
iter: 75, content_loss: 152588222464.0000, style_loss: 39650066432.0000, loss: 192238288896.0000
iter: 76, content_loss: 152733319168.0000, style_loss: 39896571904.0000, loss: 192629899264.0000
iter: 77, content_loss: 151441244160.0000, style_loss: 39054258176.0000, loss: 190495506432.0000
iter: 78, content_loss: 148809433088.0000, style_loss: 38920933376.0000, loss: 187730362368.0000
iter: 79, content_loss: 149950857216.0000, style_loss: 39190102016.0000, loss: 189140959232.0000
iter: 80, content_loss: 148840529920.0000, style_loss: 38860771328.0000, loss: 187701297152.0000
iter: 81, content_loss: 148007682048.0000, style_loss: 38885060608.0000, loss: 186892746752.0000
iter: 82, content_loss: 148524613632.0000, style_loss: 38686969856.0000, loss: 187211579392.0000
iter: 83, content_loss: 145470783488.0000, style_loss: 38323683328.0000, loss: 183794466816.0000
iter: 84, content_loss: 146784747520.0000, style_loss: 38526152704.0000, loss: 185310904320.0000
iter: 85, content_loss: 146404032512.0000, style_loss: 38091911168.0000, loss: 184495947776.0000
iter: 86, content_loss: 144794681344.0000, style_loss: 38329835520.0000, loss: 183124525056.0000
iter: 87, content_loss: 145284825088.0000, style_loss: 38303641600.0000, loss: 183588470784.0000
iter: 88, content_loss: 143325265920.0000, style_loss: 37584121856.0000, loss: 180909391872.0000
iter: 89, content_loss: 144050241536.0000, style_loss: 38103511040.0000, loss: 182153756672.0000
iter: 90, content_loss: 142669398016.0000, style_loss: 37488201728.0000, loss: 180157595648.0000
iter: 91, content_loss: 141858865152.0000, style_loss: 37604175872.0000, loss: 179463045120.0000
iter: 92, content_loss: 141770620928.0000, style_loss: 37719461888.0000, loss: 179490078720.0000
iter: 93, content_loss: 140645400576.0000, style_loss: 37172125696.0000, loss: 177817518080.0000
iter: 94, content_loss: 140772802560.0000, style_loss: 37406072832.0000, loss: 178178883584.0000
iter: 95, content_loss: 139626807296.0000, style_loss: 37083844608.0000, loss: 176710647808.0000
iter: 96, content_loss: 139584733184.0000, style_loss: 37145341952.0000, loss: 176730079232.0000
iter: 97, content_loss: 139307581440.0000, style_loss: 36938416128.0000, loss: 176245997568.0000
iter: 98, content_loss: 138909794304.0000, style_loss: 37098778624.0000, loss: 176008577024.0000
iter: 99, content_loss: 139094769664.0000, style_loss: 36973527040.0000, loss: 176068296704.0000
iter: 100, content_loss: 138551181312.0000, style_loss: 36989313024.0000, loss: 175540502528.0000
iter: 101, content_loss: 138403102720.0000, style_loss: 36721598464.0000, loss: 175124709376.0000
iter: 102, content_loss: 137549987840.0000, style_loss: 37046763520.0000, loss: 174596751360.0000
iter: 103, content_loss: 137381683200.0000, style_loss: 36636844032.0000, loss: 174018527232.0000
iter: 104, content_loss: 137817620480.0000, style_loss: 36675141632.0000, loss: 174492762112.0000
